Razón Social,Margen EBIT,Carga financiera,Margen neto,CxC,CxP,Solvencia,Apalancamiento,En Reorganización
IMPACTA PRODUCCIONES S.A.S. EN REORGANIZACION,0.275794871,0.020029,0.198839,0.004529,0.007894,1.888318,1.235577,1
IMPORTACIONES GRUCAL SAS EN REORGANIZACION,-0.101380894,0.02185,-0.134744,0.461164,0.30841,-0.088211,-0.450928,1
IMPORTADORA FAMA S.A.S. EN REORGANIZACION,0.047539002,0.020559,0.008232,0.466711,0.09696,0.026111,-0.050028,1
INDUGANADERA DEL MAGDALENA SAS- EN REORGANIZACIÓN,-0.566799789,0.021468,-0.586759,0.014323,0.133089,-0.202806,1.961429,1
INDUSTRIA DE ALIMENTOS GRANSOLI Y CIA S EN CA EN REORGANIZACION,0.080556993,0.024078,0.036711,0.112285,0.074017,1.54666,0.191273,1
INDUSTRIA MANUFACTURERA DE CALZADO SAS EN REORGANIZACION,-0.076343209,0.056442,-0.080884,0.065802,0.179508,-0.33131,0.297001,1
INDUSTRIA PRODUCTORA DE ARROZ S.A EN REORGANIZACION,0.119395886,0.048113,0.07652,0.334955,0.067573,0.036448,1.295999,1
INDUSTRIAL DE EMPAQUES FLEXIBLES SAS - EN REORGANIZACION,0.013937811,0.018861,0.00005,0.243097,0.25156,0.116413,0.047763,1
INDUSTRIAS DEL CONFORT SA EN REORGANIZACION,0.047600523,0.034257,0.013345,0.032996,0.122702,0.05331,0.607381,1
INDUSTRIAS EL COE S.A.S. EN REORGANIZACION,0.035007931,0,0.022755,0.089583,0.123625,0.628325,0.058,1
INDUSTRIAS ENSUEÑO SAS - EN REORGANIZACION,0.070069395,0.018367,0.032019,0.111151,0.153323,0.364957,0.566468,1
INDUSTRIAS PACECOL SAS EN REORGANIZACION,0.011346187,0,0.011346,0.096318,1.697693,0.013102,-0.467918,1
INGENIERIA CIVIL & AMBIENTAL - INGENIEROS CONSULTORES S.A.S. EN PROCESO DE REORGANIZACION,0.153370807,0.000067,0.153371,0.062368,0.045324,0,1.557165,1
INGENIERIA TOTAL SAS EN REORGANIZACION,0.071628957,0,0.071629,15.823028,0.18348,0.008382,0.692185,1
INGENIERIA Y SUMINISTROS BROCA SAS EN REORGANIZACION,-0.058465006,0.001405,-0.064468,0.393363,0.203119,-0.028426,2.029413,1
INGEOBRAS S.A.S EN REORGANIZACION,0.16493023,0,0.16493,6.872231,0,0.061222,0.340625,1
INGEVIAL SAS EN REORGANIZACION,-0.292493766,0.013861,-0.30609,0.444152,0.408356,0,-0.243054,1
INMCOR IMPRESORES SAS EN REORGANIZACION,0.147399503,0.047765,0.067268,0.12726,0.088564,1.410243,-0.249831,1
INSUMOS Y MODA SAS EN PROCESO DE REORGANIZACION,0.031427961,0.038403,-0.024992,0.244305,0.144879,0.029559,0.205512,1
INTEGRAL OIL SERVICES GROUP S.A.S EN REORGANIZACION,0.037292562,0.090253,-0.059518,0.176152,0.301143,0.090172,-0.226812,1
INTERCOL SA EN REORGANIZACION,0.131754901,0.081269,0.008499,5.989689,4.277837,0,0.245602,1
INTERFOOD SAS EN REORGANIZACIÓN,-0.016582452,0,-0.016582,0.052706,0.085829,0,0.090017,1
INVERMUSIC GE SAS EN REORGANIZACION,0.055835305,0,0.054768,0.23433,0.052724,0.083475,0.549508,1
INVERSER LTDA INVERSIONES Y SERVICIOS EN REORGANIZACION,-0.053944669,0,-0.073577,0.187568,0.197988,-0.05278,0.458068,1
INVERSIONES AGRICOLAS SANTAFE S.A.-AGROSANTAFE S.A. EN REORGANIZACION,-0.085361228,0,-0.085361,0.125589,0.86817,0,2.641934,1
INVERSIONES CAMPOSOL SAS EN REORGANIZACIÓN,-0.080450241,0,-0.09139,0.210284,0.142895,-0.118939,2.283127,1
INVERSIONES CHAHIN Y CIA C.S.A EN REORGANIZACION,0.035605482,0.003721,0.016554,6.307081,5.842967,0.003866,0.222503,1
INVERSIONES EL MARQUEZ S.A.S. EN REORGANIZACION,0.006436093,0.001558,0.152962,0.155117,0.041654,0.129807,3.656144,1
INVERSIONES MEGAVAL LTDA EN REORGANIZACION,0.173489271,0.042765,0.130724,0.006427,0.156808,0.894918,0.937201,1
INVERSIONES MINA LA GOMEZ S.A.S EN REORGANIZACION,-0.258861524,0.006042,-0.339921,1.310139,0.501061,-1.187785,0.327545,1
INVERSIONES MOLINO GRANDE LTDA EN REORGANIZACION,-0.31804493,0,-0.156935,0.540948,7.545468,-0.566471,-0.414635,1
INVERSIONES SANTO Y LEÑA SAS EN REORGANIZACION,0.327436062,0.031921,0.282216,0.394469,0.052938,1.67724,0.368079,1
INVERSIONES TINKKO SAS EN PROCESO DE REORGANIZACION,0.06112016,0.01377,0.035513,0.116268,0.348742,0,-0.380832,1
Industrias continental articulos electricos florez osorio y cia s en c en reorganizacion,-0.672501981,0,-0.672502,0,0.304733,-0.017451,0.080544,1
Ingenieria y Servicios Ambientales Isa Internacional Ltda en Reorganizacion,-0.039727328,0.009495,0.022451,0.670157,0.370493,0,0.243831,1
Inpacta sas en reorganización,-0.366679338,0,-0.366679,3.374436,0.932388,-0.078782,0.455575,1
Inversiones La Carne Sas En Reorganización,-0.017220787,0.02332,-0.040442,0.135416,0.291246,-0.089424,-0.213368,1
J A SERVICIOS EFICIENTES SAS  EN REORGANIZACION,0.008905238,0,0.001494,0.527203,0.06659,0.065697,0.404973,1
J Y F INVERSIONES S A S EN REORGANIZACION,0.11080528,0,0.073152,6.069637,3.168775,0.025072,1.079431,1
JAYMAR SAS EN REORGANIZACIÓN,0.026791293,0,0.026791,0.837656,0.08093,0.080405,0.744965,1
JP INGENIERIA CONSTRUCCIONES SAS EN REORGANIZACION,-0.075101722,0.088231,-0.161435,0.41108,0.183978,0,1.176392,1
KEY MARKET  SAS EN REORGANIZACION,0.022725463,0.0091,0.006804,0.670344,0.393254,0.114267,0.559382,1
KINCO SAS EN REORGANIZACION,-0.156005372,0.082789,0.064298,0.012366,0.006183,0,-0.467911,1
L&S ACTIVIDADES AGROPECUARIAS S.A.S. EN REORGANIZACION,0.025819551,0,0.02582,2.369231,1.408872,0.06424,0.171526,1
LA BODEGA TEXTIL RG SAS EN REORGANIZACION,-0.275770364,0.015192,-0.290963,0.986352,3.550123,-0.106116,-0.491675,1
LACTEOS CAMPORAL SAS BIC EN REORGANIZACION,-0.185900315,0.079459,-0.269368,0.176307,0.096705,-0.355477,-0.419136,1
LACTEOS DEL CESAR SA EN REORGANIZACION,0.03676004,0.032207,0.020737,0.037414,0.074589,0.664593,0.199605,1
LAGEX SAS EN REORGANIZACION,0.069300222,0,0.045051,0.965114,0.754092,0.115449,0.431587,1
LAMICOLOR LTDA EN REORGANIZACION,0.10135325,0,0.058072,0.154079,0.140483,0.183182,0.153135,1
LAUZOL SAS EN REORGANIZACION,0.010825012,0.017042,0.001754,0.315016,0.038546,0.058288,0.968707,1
LE & VE ALIMENTOS MACSOL SAS EN REORGANIZACION,0.037924958,0.000812,0.034261,0.354703,0.067593,0.37833,0.41903,1
LOS LEMAITRE S.A.S. EN REORGANIZACION,0.026221127,0.011482,0.007278,0.163228,0.035958,0,0.096165,1
LUIS EDUARDO CAICEDO S.A. (LEC S..A) EN REORGANIZACION,0.08766777,0.050747,0.023034,0.124287,0.067297,0.235762,1.685652,1
LUVET SAS EN REORGANIZACION,-0.188634628,0.00226,-0.190894,0.87404,0.297102,-0.275424,-0.632305,1
M.V.C. S.A.S EN PROCESO DE REORGANIZACION,-0.891743099,0.000526,-0.892269,0.546439,0.618964,-0.311531,0.506159,1
MACHINE TECHNOLOGIES SERVICES SAS EN REORGANIZACION,0.116861226,0.080197,0.023831,0.086485,0.157627,1.101977,0.046455,1
MAGNOFARMA SAS EN REORGANIZACION,0.408431486,0,0.379673,0.238964,0.049508,0,-0.397097,1
MANUFACTURAS 3G SAS EN REORGANIZACION,-0.234093398,0.083638,-0.31644,0.359293,0.422785,-0.352214,-0.380031,1
MARCHEN SA EN REORGANIZACION,0.072837413,0,0.072837,0.966541,1.013295,0.581616,-0.181259,1
MARQUILLAS Y ACCESORIOS SA EN REORGANIZACION,0.103100645,0.027438,0.057069,0.242538,0.090106,1.069652,1.686382,1
MATERIALES CONSTRUCERAMICAS LTDA EN REORGANIZACION,0.02532649,0,0.013784,0.00009,0.76633,0.115198,0.674897,1
MATERIALES ELECTRICOS DE COLOMBIA SAS - EN REORGANIZACION,-0.160293718,0,-0.160294,1.290989,1.024241,0,0.102736,1
MAXIPORCINOS SA EN REORGANIZACION,0.013829897,0,0.01383,0.005538,0.140052,0,0.72386,1
MAZIVO GROUP SAS EN REORGANIZACION,0.015859157,0.042619,-0.048847,0.105568,0.083239,0,-0.047497,1
MEDICINA Y TECNOLOGIA SAS EN REORGANIZACION,0.01767029,0.005715,0.011366,0.692362,0.397965,0.170749,1.04135,1
MEGA ANDINA SAS EN REORGANIZACION,-1.853646813,0,-1.853647,13.947244,8.19733,-0.122968,0.022746,1
MERCAFACIL INDUSTRIAL S.A.S. EN PROCESO DE REORGANIZACIÓN,0.060426436,0.009551,0.016902,0.150702,0.213988,0.167455,0.161048,1
META FISH & FOOD COMPANY SA EN REORGANIZACION,0.014243877,0,0.014244,0.028594,0.055832,0.146765,6.255024,1
METALES Y EXCEDENTES RECUPERADOS S.A.S EN REORGANIZACION,0.037095664,0.034523,-0.007242,0.006541,0.030493,0.180166,0.633878,1
METALEX INTERNACIONAL SA EN REORGANIZACION,0.043567361,0.004652,0.025295,0.966267,0.174332,0,0.483966,1
METALURGICA DE SANTANDER SAS EN REORGANIZACIÓN,0.141582431,0.047986,0.055594,0.238125,0.101223,1.693587,1.742407,1
MICROMEDICA SAS - EN REORGANIZACION,-0.191116175,0.021881,-0.269703,0.123508,0.585036,-0.103524,1.02963,1
MINERALEX LIMITADA EN REORGANIZACION,0.174099174,0.078137,0.091901,0.475269,0.12904,0.273608,-0.240955,1
MIRS LATINOAMERCA SAS EN REORGANIZACION,0.159571206,0.000698,0.103268,2.970262,0.017595,0,3.464612,1
MM PLATA SAS EN REORGANIZACION,-0.122247404,0,-0.122247,0.203569,0.811112,-0.170465,-0.222947,1
MONTACARGAS EL ZAFIRO S.A.S. EN REORGANIZACION,0.139934838,0.018947,0.078643,0.095974,0.083831,0,0.305907,1
MONTAJES DAYPED SAS EN REORGANIZACION,0.075492719,0.032354,0.027751,0.357918,1.022255,0.28099,0.260702,1
MONTAJES Y MANTENIMIENTOS DE TORRES SAS EN REORGANIZACION,0.106146117,0.099735,0.010062,0.319777,0.368574,0.209481,0.26971,1
MONTES S.A. - EN REORGANIZACION,-0.029884268,0,-0.03786,0.446228,0.09941,-0.630734,0.3154,1
MULTIPARTES INDUSTRIAL SAS EN REORGANIZACION,-0.124499965,0.002825,-0.160517,1.665829,0.110138,0,2.247972,1
NACIONAL DE PERFORACIONES SAS EN REORGANIZACION,0.067688186,0,0.03534,1.484605,1.113008,0,0.096676,1
NITROACRYL DE COLOMBIA S.A.S EN REORGANIZACIÓN,-0.015466118,0,-0.015822,0.117224,0.213585,-0.153611,0.748191,1
NSP DE COLOMBIA SAS EN REORGANIZACION,0.079126746,0.031008,0.021795,0.62927,0.017266,0.094583,0.853268,1
OFICOMCO S.A.S EN REORGANIZACION,-0.279428805,0.206936,-0.504673,0.388893,2.272713,-0.129868,-0.505159,1
OINC SAS EN REORGANIZACION,0.015599444,0,0.015599,0.173504,0.051059,0.197976,1.132374,1
OMEGA INGENIERIA SAS EN PROCESO DE REORGANIZACION,0.093425581,0,0.060726,0.869545,0.050451,0,2.431751,1
OPERACION Y LOGISTICA SAS EN REORGANIZACION,0.253507951,0,0.253508,1.832775,1.278892,0.159205,0.801276,1
OPERADORA DE FRANQUICIAS DE COLOMBIA SAS EN REORGANIZACION,-0.01616416,0.035738,-0.050292,0.019947,0.060809,-0.204299,-0.410662,1
ORTIZ MUÑOZ GALINDO INGENIERIA S.A.S. EN REORGANIZACION,0.097396702,0,0.041778,2.105742,3.534599,0.028199,0.487812,1
OSC TELECOMS & SECURITY SOLUTIONS  SAS - EN REORGANIZACIÓN,0.123517492,0.030379,0.07867,0.483116,0.485727,0.173664,0.164743,1
OSPINA GRASAS Y PIELES SAS EN PROCESO DE REORGANIZACION,-0.216478223,0,-0.221527,0.389501,0.833915,-0.457809,-0.019761,1
OSTEOMEDICAL SAS EN REORGANIZACION,0.139651655,0.058967,0.037904,0.306039,0.406333,0.187268,0.044836,1
OUTSOURCING EXPRESS SAS EN REORGANIZACION,0.011567673,0.00417,0.007436,5.463789,3.337465,0.007162,0.029666,1
PALMAR DE SANTA BARBARA SAS EN REORGANIZACION,0.07579707,0.034638,0.026122,0.299068,0.118529,0,0.619956,1
PALMAS DE BELLAVISTA SUR DE BOLIVAR S. A. S. EN REORGANIZACION,-0.014595769,0,0.074251,0.31036,0.467041,-0.007473,1.572674,1
PARQUE NACIONAL DE LA CULTURA AGROPECUARIA SAS EN PROCESO DE REORGANIZACION,0.079069812,0.039072,0.015446,0.087571,0.564594,0.106646,0.702479,1
PERDOMO Y ASOCIADOS SAS EN REORGANIZACION,0.118600123,0,0.074762,4.263912,0.114021,0,1.381666,1
PERFOTEC SAS EN REORGANIZACION,-2.91309968,0,-2.9131,0.58424,0.528407,-1.782448,-0.419278,1
PETROLAND SAS EN REORGANIZACION,0.115135836,0.078659,0.023699,0.967358,0.24765,0,1.190172,1
PETROLEUM COLOMBIAN SERVICES SAS EN REORGANIZACION,0.036355784,0.035042,0.000862,1.8949,0.095048,0.182586,0.194501,1
PLASDECOR DE MONTERIA SAS EN REORGANIZACION,0.024309114,0.039076,-0.014767,0.565549,0.469233,0.087274,0.153459,1
PLASTICARIBE SAS EN REORGANIZACION,0.12782127,0.123385,0.00415,0.146261,0.114376,0,0.555447,1
PLASTICOS CALIDAD Y COMPAÑIA SAS EN REORGANIZACION,0.019156971,0.013667,-0.002659,0.094436,0.012593,0,0.155534,1
PLASTICOS MONCLAT SAS EN REORGANIZACION,0.029850751,0.031307,-0.003627,0.156809,0.206933,0.166513,0.05421,1
PLASTICOS THERMOPLAST LTDA EN REORGANIZACION,0.173243829,0,0.112608,0.29184,1.081289,0.058736,0.493868,1
POLITECNICO CIANDCO SAS EN REORGANIZACION,0.382081182,0.031686,0.350395,1.26099,0.515009,0,0.379889,1
POLLO ANDINO SA EN REORGANIZACION,0.158218953,0,0.108428,0.012178,0.025119,1.461832,1.877955,1
POLLOS TROPICAL SAS EN REORGANIZACION,0.08550509,0.024822,0.040874,0.033634,0.015034,0.525214,0.497929,1
POWERLINE WIRELESS COMMUNICATIONS SAS EN REORGANIZACION,0.01820642,0,0.018206,1.591619,0.086853,0.013671,0.662338,1
PRINCEX CI DE COLOMBIA SAS EN REORGANIZACION,0.488164657,0,0.482893,0.055267,0.812213,0.071829,-0.301285,1
PROACEROS DE OCCIDENTE SA EN REORGANIZACION,-0.045271594,0.005605,-0.050876,0.133583,0.105159,-2.659433,0.342021,1
PROALIMENTOS LIBER SAS EN REORGANIZACION,0.184273272,0.131818,0.048426,3.413418,0.384136,0.039892,1.361218,1
PROCESUR FR SAS EN REORGANIZACION,0.045029905,0.009074,0.024848,0.069958,0.053387,0.993767,0.309815,1
PRODUCTORA DE ALIMENTOS Y AGROGANADERA LA DORADA SAS EN REORGANIZACION,0.113133626,0.022079,0.095469,0.009689,0,0.007589,0.133834,1
PRODUCTORA DE CEMENTO SAS EN REORGANIZACION,0.301588039,0.018579,0.162539,0.395153,0.101192,4.882634,0.373864,1
PRODUCTOS LACTEOS EL TORO SAS EN REORGANIZACION,0.027301356,0.020044,0.000782,0.158401,0.019132,0.075504,0.618696,1
PRODUCTOS VARIOS PRODUVARIOS S.A. EN REORGANIZACION,-0.030172993,0.176039,-0.078003,0.041232,0.271409,-0.121793,0.257593,1
PROHESA SAS EN REORGANIZACION,0.016843216,0.078101,-0.061257,0.255172,0.842605,0.032912,0.123354,1
PROYECTAMOS SEGURIDAD LTDA. EN REORGANIZACION,0.051710926,0.042461,0.006013,0.177631,0.00244,0.896619,0.88748,1
PT INGENIERIA DE PROYECTOS SAS EN REORGANIZACION,0.037785089,0.000066,0.014412,0.891631,0.27856,1.772569,1.65971,1
PUBLI-FIBRA S.A EN REORGANIZACION,0.003270995,0.005539,-0.00287,0.10184,0.213575,0.007019,0.319559,1
PUNTO LOGISTICO SAS EN REORGANIZACION,-0.164186964,0,-0.208106,0.743991,1.056702,0,-0.101695,1
Pelpak SA En Reorganizacion,0.065559123,0.065201,0.011603,0.182503,0.392611,0.202173,0.453226,1
QUALITY MINING SYSTEMS COLMAC SAS EN REORGANIZACION,0.072463042,0,0.041932,0.23142,0.112336,0,1.086233,1
QUEST INTERNACIONAL SA EN REORGANIZACION,0.116838523,0.006709,0.075649,0.246675,0.264262,0.219277,-0.449115,1
QUIFARCOS S.A.S EN PROCESO DE REORGANIZACIÓN,0.033474352,0,0.01999,0.027728,0.814477,0,0.242241,1
QUIMICOS JM SAS EN REORGANIZACION,0.002897755,0.002664,-0.044057,0.517224,0.332118,0,-0.546462,1
QUIMICOS NOURTH SAS EN REORGANIZACION,0.070118827,0.003426,0.056175,0.020109,0.036802,0,3.061011,1
QUINTEC QUIMICA Y TECNOLOGIA SAS  EN REORGANIZACION,0.051895632,0,0.051896,0.144703,0.117706,0,0.221879,1
RADIO MUNERA SAS EN PROCESO DE REORGANIZACION,-0.925856698,0,-0.925857,0.557009,0,0,-0.229428,1
RECOVERY & SERVICES S.A.S. EN REORGANIZACIÓN,-0.251432389,0,-0.240726,0.062377,0.054394,-0.322437,0.07002,1
REDES Y PROYECTOS DE ENERGIA S A EMPRESA MULTINACIONAL ANDINA - EN REORGANIZACION,-0.129618364,0.0081,-0.135265,0.764571,0.039698,-0.075166,-0.306231,1
REDESIS SAS EN REORGANIZACION,-0.13692547,0.046092,-0.183017,1.265144,0.185367,-0.078827,0.176756,1
REENCAUCHADORA DE LA SABANA LTDA - EN REORGANIZACION,-1.251654789,0,-0.79248,0.31538,0.520013,-0.28022,-0.431773,1
RGJV SOLORZANO S.A.S EN REORGANIZACION,1.752592075,0.033485,0.985987,0.738812,3.115299,0.050233,-0.085631,1
RIAPA ASOCIADOS S.A.S EN REORGANIZACION,0.051203455,0,0.051203,0.749287,0.125491,0,-0.608907,1
RM SERVICIOS INTEGRALES MOCTZUMA SAS - EN REORGANIZACION,0.107094206,0.025737,0.052994,0.14222,0.025803,0,0.305258,1
RYM SOLUCIONES INTEGRALES SAS - EN REORGANIZACION -,0.059851344,0.046759,0.008791,0.338741,0.137286,0.38912,0.366286,1
SALSAMENTARIA PERLA DEL OTUN LTDA EN REORGANIZACION,0.031327965,0,0.031328,0.062846,0.555623,0,0.213687,1
SANCHEZ CONSTRUCCIONES SAS-EN REORGANIZACION,-0.979773181,0.00438,-0.980197,0.00996,1.622248,0,-0.363094,1
SEMTEL INGENIERIA S.A.S. - EN REORGANIZACIÓN,0.022444849,0.08248,-0.076266,0.558651,0.210969,0.024768,-0.319086,1
SERFELSA LABORATORIOS LIMITADA EN REORGANIZACION,-0.219509596,0.023446,-0.242956,0.336236,0.424608,-0.65019,-0.237717,1
SERVICIO DE MERCADEO TEXTIL SAS SERMETEX SAS EN REORGANIZACION,0.021168755,0,0.026461,0.176075,0.138427,0.180578,0.60004,1
SERVICIOS PETROLEROS SERPEL SAS-EN REORGANIZACION,0.080998808,0.03491,0.026363,0.178762,0.126881,0.108565,0.821583,1
SERVICIOS TRH S.A.S. EN REORGANIZACIÓN,0.062138615,0,0.051756,0.59719,0.043249,2.997696,0.412267,1
SERVIMINAS S A S EN REORGANIZACION,0.054770981,0.047902,0.004653,0.660762,0.999343,0,0.697296,1
SOCAR INGENIERIA SAS EN REORGANIZACIÓN,0.05952141,0.00805,0.030883,0,0,0.007266,1.387686,1
SOCIEDAD AGROINVERSIONES LA GERMANIA SAS EN REORGANIZACION,0.191539022,0.011122,0.165607,0.215335,0.131147,0.34254,3.549457,1
SOCIEDAD ASESORES Y AJUSTADORES JURIDICOS Y CIA SA-EN REORGANIZACION,0.109738146,0.010538,0.058307,2.23629,1.21058,0,0.907624,1
SOCIEDAD MEJIA ISAZA SAS EN REORGANIZACION,0.088335233,0.049558,0.569216,0,0.966106,0.03321,2.147291,1
SOCIEDAD PRESTADORA DE SERVICIOS PANACA SAS EN PROCESO DE REORGANIZACION,0.033208647,0.047096,-0.0277,0.131074,0.067758,0,0.138568,1
SOLUCIONES INTEGRALES DE OFICINA SAS EN REORGANIZACION,-0.004033438,0,0.048769,1.240218,0.038281,-0.002928,0.507652,1
SOLUCIONES MECANICAS GLOBALES S.A.S - EN REORGANIZACION,0.168905548,0.067151,0.04365,0.466333,0.364183,0.250063,0.636338,1
SOLUTIONS INC SAS EN REORGANIZACION,0.021327366,0.015966,0.003753,0.372858,0.035909,0.156304,0.398039,1
SPARCOL CHEMICALS & LIFE SAS EN REORGANIZACION,0.175597619,0.012383,0.110152,0.170063,0.348175,1.016355,0.276327,1
SUASEC LTDA EN REORGANIZACION,0.019883503,0,0.012925,1.916279,1.240851,0.009356,-0.029789,1
SUINCO DEL NORTE S.A.S EN REORGANIZACION,0.246575342,0,0.246575,0.152218,0.042118,2.09375,1.112265,1
SUMINISTROS TECNICOS PETROLEROS SAS EN REORGANIZACION,-3.520329987,0,-3.52033,0.524696,0.219694,-0.596028,-0.053529,1
SUMIPARTS SAS EN REORGANIZACION,0.035515302,0.043777,-0.007256,0.141956,0.136899,0.169237,-0.070546,1
SUSTANCIAS BASICAS COLOMBIANAS SBC S A S - EN REORGANIZACIÓN,0.371610838,0,0.115846,0.092097,0,0,-0.172381,1
SYM COMPUTER SAS EN REORGANIZACION,-2.336166963,0,-2.336167,0.00368,1.340841,-2.390277,-0.85598,1
TALLERES UNIDOS LTDA EN REORGANIZACION,0.198118472,0.065147,0.072177,0.040412,0.026996,0.986414,0.879333,1
TECNITANQUES INGRENIEROS  SAS EN REORGANIZACION,0.088785767,0.039134,0.015336,0.19086,0.059984,0.752418,0.752904,1
TECNOLOGIA DE LA INFORMACION Y LAS TELECOMUNICACIONES DE COLOMBIA SAS EN PROCESO DE REORGANIZACION,-0.28278269,0.024927,-0.307632,0.682844,0.161671,-0.298562,0.330109,1
TECNOPROCESOS SAS EN REORGANIZACION,0.04453019,0,-0.044081,0,0.381529,2.342904,1.008875,1
TECS S.A.S. EN REORGANIZACION,0.001586823,0,0.001587,0.268225,0,0,3.502879,1
TEXTILIA SAS EN REORGANIZACION,-0.172166079,0.318422,-0.443526,0.296056,0.937987,-0.086943,-0.14242,1
TODOSISTEMAS OLUCIONES DE TECNOLOGIA DE INFORMACION SAS EN REORGANIZACION,0.114797698,0.018418,0.062647,0.512949,0.13077,0.148625,1.164305,1
TOPCROC SAS EN REORGANIZACION,-0.411621635,0.221462,-0.633083,7.730977,1.486087,-0.142093,0.172167,1
TORRESCAR SA EN REORGANIZACION,-0.198638741,0,-0.194121,0.709941,0.075258,-0.312583,0.482215,1
TOTAL GAS S.A. EN REORGANIZACION,0.102518665,0.192796,-0.090278,0.017002,0.180785,0,-0.907953,1
TOWERTECH AMERICAS SAS EN PROCESO DE REORGANIZACION,-0.31763666,0.14567,-0.488233,0.263676,2.058983,0,0.850985,1
TRACTEC SOCIEDAD POR ACCIONES SIMPLIFICADA BIC EN REORGANIZACION,0.023404606,0,0.003221,0.027199,0.082436,0.033593,0.740622,1
TRANSMIPET SAS EN REORGANIZACION,0.043567616,0,0.027317,0.401788,0.533146,0,0.103543,1
TRANSPORTADORES LA COROCORA SAS EN REORGANIZACION,0.025216189,0,0.010397,0.401042,0.691024,0.289014,0.077172,1
TRANSPORTES ESPECIALES TOURS DEL VALLE LTDA EN REORGANIZACION,0.164952563,0,0.10188,0.596481,0.383686,0,1.467281,1
TRANSPORTES MESY S.A.S. EN REORGANIZACION,0.037989105,0.012116,0.024312,0.117532,0.058442,0.195588,0.996773,1
TRANSPORTES ORSAL S.A.S EN REORGANIZACION,0.051545583,0,0.051546,0.462998,0,0.11695,0.920062,1
TRASLAVIÑA GONZALEZ FORERO S.A.S. EN REORGANIZACION,1.287774098,0,1.228915,0.000905,0.104702,0,0.342001,1
TWENTY AGENCIA CREATIVA SAS EN REORGANIZACION,0.08273313,0,0.051339,0.123907,0.044578,0,0.915269,1
UNIVERSAL PACK GROUP S.A.S EN REORGANIZACIÓN,0.030204468,0.014433,0.002216,0.338673,0.432506,0.160883,0.184742,1
VALCHARO CONSTRUCTORES S.A.S. EN REORGANIZACIÓN,0.08192489,0.034244,0.020495,4.651835,0.050855,0.029654,0.626657,1
VALENCIA Y SOTO SA EN REORGANIZACION,0.003112595,0.069655,-0.0521,0.150342,0.520895,0.003766,0.762323,1
VALERY ROSSI S.A.S. EN REORGANIZACION,0.041186828,0.003389,0.023597,0.328835,0.844209,0,0.237377,1
VALMEC SAS EN REORGANIZACION,0.048866841,0,0.031563,0.219948,0.381519,0,2.248767,1
VENTAS DOBLE G S.A.S. EN REORGANIZACION,0.04750927,0.038345,0.005399,0.129379,0.130226,0.659611,0.056807,1
VERTICAL DISEÑO SAS EN REORGANIZACION,0.176542248,0.12487,0.051672,0.770105,0,0,0.747903,1
WELLNESS CENTER MDI MARINO SAS EN REORGANIZACION,-3.392503401,0,-3.392503,0.363295,0.229142,0,1.016456,1
WILLIAM CHAMS S.A.S. EN REORGANIZACION,-3.303609211,0,-3.303609,0.229902,8.016366,-2.791514,-0.768305,1
WINGS BOGOTA SAS - EN REORGANIZACION,0.017792918,0.03418,-0.028435,0.071713,0.128355,0.427455,-0.674946,1
WORLDTEK SAS EN REORGANIZACION,0.066597295,0,0.036097,0.492454,0.122773,0.191984,0.518384,1
XP COLOMBIA SAS EN REORGANIZACIÓN,-0.028102307,0.044835,0.019752,3.572099,0.330121,-0.036478,0.24817,1
ZORB PUBLICIDAD SAS EN REORGANIZACION,0.113625218,0,0.070927,1.109442,0.378661,0.103108,0.295738,1
power motors yamaha s.a.s en reorganizacion,0.022596446,0.00371,0.018887,0.161363,0.033019,0,0.21598,1
pradcel ingenieria  sas sociedad por acciones simplificadas en reorganizacion,0.14771824,0.003354,0.144365,0.93864,0.000334,1.608498,0.198543,1
sincotel solutions sas en reorganizacion,0.176937288,0.00906,0.085863,3.44497,1.138097,0.685661,1.864734,1
